timestamp,symbol,side,quantity,price,filled_price,commission,pnl,status,order_id,cycle_id,strategy,reason
2026-01-13 23:13:38.935391,BTCUSDT,buy,0.0125884271442156,95325.65,95325.65,1.2,0.0,filled,paper_1768342418,,portfolio_manager_simulated,L3_initial_rebalance
2026-01-13 23:13:38.937386,ETHUSDT,buy,0.2715989027404329,3313.71,3313.71,0.9,0.0,filled,paper_1768342418,,portfolio_manager_simulated,L3_initial_rebalance
2026-01-13 23:14:00.178208,BTCUSDT,buy,0.0003940118362427,95256.58,95256.58,0.03753222,0.0,filled,paper_1768342440,,portfolio_manager_simulated,
2026-01-13 23:14:00.178208,ETHUSDT,buy,0.0113157582134641,3316.81,3316.81,0.03753222,0.0,filled,paper_1768342440,,portfolio_manager_simulated,
2026-01-13 23:14:20.977429,BTCUSDT,buy,0.0003605859386012,95376.4,95376.4,0.0343913887144079,0.0,filled,paper_1768342460,,portfolio_manager_simulated,
2026-01-13 23:14:20.982568,ETHUSDT,buy,0.0103390458983417,3326.36,3326.36,0.0343913887144079,0.0,filled,paper_1768342460,,portfolio_manager_simulated,
2026-01-13 23:14:41.736299,BTCUSDT,buy,0.000329955295901,95508.07,95508.07,0.0315133934977869,0.0,filled,paper_1768342481,,portfolio_manager_simulated,
2026-01-13 23:14:41.736299,ETHUSDT,buy,0.009482674692256,3323.26,3323.26,0.0315133934977869,0.0,filled,paper_1768342481,,portfolio_manager_simulated,
2026-01-13 23:15:02.539926,BTCUSDT,buy,0.0003050977859216,94645.85,94645.85,0.0288762392816755,0.0,filled,paper_1768342502,,portfolio_manager_simulated,
2026-01-13 23:15:02.540924,ETHUSDT,buy,0.0086864642213277,3324.28,3324.28,0.0288762392816755,0.0,filled,paper_1768342502,,portfolio_manager_simulated,
2026-01-13 23:15:23.330966,BTCUSDT,buy,0.0002768534654497,95573.2,95573.2,0.0264597716241235,0.0,filled,paper_1768342523,,portfolio_manager_simulated,
2026-01-13 23:15:23.331963,ETHUSDT,buy,0.0079556247967851,3325.92,3325.92,0.0264597716241235,0.0,filled,paper_1768342523,,portfolio_manager_simulated,
2026-01-13 23:15:23.336158,BTCUSDT,sell,0.0016796359375879,95573.2,95573.2,0.1605281813902836,0.0,filled,paper_1768342523,,portfolio_manager_simulated,auto_rebalance
2026-01-13 23:15:23.336158,ETHUSDT,sell,0.0483569408893673,3325.92,3325.92,0.1608313168427647,0.0,filled,paper_1768342523,,portfolio_manager_simulated,auto_rebalance
2026-01-13 23:15:33.746982,BTCUSDT,buy,0.0003941755541185,95553.66,95553.66,0.0376649168785543,0.0,filled,paper_1768342533,,portfolio_manager_simulated,
