operation_id,symbol,sell_date,buy_date,quantity,buy_price,sell_price,cost_basis,sell_value,gain_loss,holding_period_days
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:22:51.652925,0.0002798518837953943,66438.2025,66223.25181,18.59,18.53,-0.06,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:23:27.736512,0.00013977494087285245,66410.178495,66223.25181,9.28,9.26,-0.03,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:27:07.289566,0.0007682795734656704,66469.24801499999,66223.25181,51.07,50.88,-0.19,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:27:07.289566,0.0003527882068976037,66469.24801499999,66186.060415,23.45,23.35,-0.1,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:27:43.368473,0.000560190973745925,66410.138475,66186.060415,37.2,37.08,-0.13,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:28:19.501005,0.0002794982669146953,66452.179485,66186.060415,18.57,18.5,-0.07,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:28:55.616186,0.00013960451399851984,66421.20400499999,66186.060415,9.27,9.24,-0.03,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:31:44.005443,0.000758320263943297,66405.095955,66186.060415,50.36,50.19,-0.17,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:31:44.005443,0.00036080011019335215,66405.095955,66161.852525,23.96,23.87,-0.09,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:32:08.077565,0.000558237957813177,66462.504645,66161.852525,37.1,36.93,-0.17,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:32:32.168588,0.00027864311456139886,66476.111445,66161.852525,18.52,18.44,-0.09,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:32:56.499720,0.0001391527162403837,66456.901845,66161.852525,9.25,9.21,-0.04,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:36:35.892128,0.0007488516227118324,66368.48766,66161.852525,49.7,49.55,-0.15,0
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,BTCUSDT,2026-02-12T23:56:36.052229,2026-02-12T23:36:35.892128,0.0003683121867722645,66368.48766,66244.56115,24.44,24.4,-0.05,0
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,BTCUSDT,2026-02-12T23:56:36.052229,2026-02-12T23:37:12.008537,0.0005577275257313607,66370.41862499999,66244.56115,37.02,36.95,-0.07,0
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,BTCUSDT,2026-02-12T23:56:36.052229,2026-02-12T23:37:48.042781,0.0002785329975223921,66349.52818499999,66244.56115,18.48,18.45,-0.03,0
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,BTCUSDT,2026-02-12T23:56:36.052229,2026-02-12T23:38:24.137055,0.0001390977382097134,66330.3486,66244.56115,9.23,9.21,-0.01,0
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,BTCUSDT,2026-02-12T23:56:36.052229,2026-02-12T23:41:51.734922,0.0007381469429261154,66308.22754499999,66244.56115,48.95,48.9,-0.05,0
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,BTCUSDT,2026-02-13T00:01:37.117653,2026-02-12T23:41:51.734922,0.0003762450815010416,66308.22754499999,66217.764555,24.95,24.91,-0.03,0
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,BTCUSDT,2026-02-13T00:01:37.117653,2026-02-12T23:42:15.782907,0.0005563599395972518,66308.22754499999,66217.764555,36.89,36.84,-0.05,0
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,BTCUSDT,2026-02-13T00:01:37.117653,2026-02-12T23:42:39.867121,0.0002778425071804502,66289.14801,66217.764555,18.42,18.4,-0.02,0
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,BTCUSDT,2026-02-13T00:01:37.117653,2026-02-12T23:43:03.915307,0.00013870871987294356,66291.098985,66217.764555,9.2,9.18,-0.01,0
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,BTCUSDT,2026-02-13T00:01:37.117653,2026-02-12T23:46:52.550582,0.0007293428059526037,66274.62075,66217.764555,48.34,48.3,-0.04,0
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,BTCUSDT,2026-02-13T00:06:37.602590,2026-02-12T23:46:52.550582,0.0003832067307283911,66274.62075,66493.81646,25.4,25.48,0.08,0
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,BTCUSDT,2026-02-13T00:06:37.602590,2026-02-12T23:47:28.676014,0.0005555957486965842,66256.05147,66493.81646,36.81,36.94,0.13,0
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,BTCUSDT,2026-02-13T00:06:37.602590,2026-02-12T23:47:52.735197,0.0002773494602311635,66263.59524,66493.81646,18.38,18.44,0.06,0
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,BTCUSDT,2026-02-13T00:06:37.602590,2026-02-12T23:48:16.851872,0.0001384666486830433,66263.59524,66493.81646,9.18,9.21,0.03,0
BTCUSDT_2026-02-13T00:06:37.602590_1509678810816,BTCUSDT,2026-02-13T00:06:37.602590,2026-02-12T23:51:59.351442,0.0007203778857611801,66236.9019,66493.81646,47.72,47.9,0.19,0
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,BTCUSDT,2026-02-13T00:11:38.397774,2026-02-12T23:51:59.351442,0.000389919234815424,66236.9019,66393.716535,25.83,25.89,0.06,0
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,BTCUSDT,2026-02-13T00:11:38.397774,2026-02-12T23:52:23.378312,0.0005543722499749482,66230.12851499999,66393.716535,36.72,36.81,0.09,0
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,BTCUSDT,2026-02-13T00:11:38.397774,2026-02-12T23:52:47.731822,0.000276741068660253,66237.102,66393.716535,18.33,18.37,0.04,0
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,BTCUSDT,2026-02-13T00:11:38.397774,2026-02-12T23:53:14.534145,0.00013816290934336411,66237.102,66393.716535,9.15,9.17,0.02,0
BTCUSDT_2026-02-13T00:11:38.397774_1507573010240,BTCUSDT,2026-02-13T00:11:38.397774,2026-02-12T23:56:42.085631,0.0007130419682752407,66323.38512,66393.716535,47.29,47.34,0.05,0
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,BTCUSDT,2026-02-13T00:16:39.146485,2026-02-12T23:56:42.085631,0.000394997334820559,66323.38512,66298.0344,26.2,26.19,-0.01,0
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,BTCUSDT,2026-02-13T00:16:39.146485,2026-02-12T23:57:06.136869,0.0005531883450607524,66323.38512,66298.0344,36.69,36.68,-0.01,0
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,BTCUSDT,2026-02-13T00:16:39.146485,2026-02-12T23:57:30.210838,0.0002763164044959498,66290.43865499999,66298.0344,18.32,18.32,0.0,0
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,BTCUSDT,2026-02-13T00:16:39.146485,2026-02-12T23:57:54.241358,0.00013791199336318238,66309.13799999999,66298.0344,9.14,9.14,-0.0,0
BTCUSDT_2026-02-13T00:16:39.146485_1507574769792,BTCUSDT,2026-02-13T00:16:39.146485,2026-02-13T00:02:06.934128,0.0007063974560238577,66284.015445,66298.0344,46.82,46.83,0.01,0
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,BTCUSDT,2026-02-13T00:21:39.933870,2026-02-13T00:02:06.934128,0.00040017234062776543,66284.015445,66170.907995,26.53,26.48,-0.05,0
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,BTCUSDT,2026-02-13T00:21:39.933870,2026-02-13T00:02:31.007095,0.000551330328449215,66419.193,66170.907995,36.62,36.48,-0.14,0
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,BTCUSDT,2026-02-13T00:21:39.933870,2026-02-13T00:02:58.027758,0.0002751105047780418,66453.24001499999,66170.907995,18.28,18.2,-0.08,0
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,BTCUSDT,2026-02-13T00:21:39.933870,2026-02-13T00:03:22.056864,0.00013734000076385953,66457.522155,66170.907995,9.13,9.09,-0.04,0
BTCUSDT_2026-02-13T00:21:39.933870_1507573245248,BTCUSDT,2026-02-13T00:21:39.933870,2026-02-13T00:07:01.621958,0.0007028940829481947,66560.34354,66170.907995,46.78,46.51,-0.27,0
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,BTCUSDT,2026-02-13T00:26:40.710034,2026-02-13T00:07:01.621958,0.0004015094653653259,66560.34354,66034.496235,26.72,26.51,-0.21,0
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,BTCUSDT,2026-02-13T00:26:40.710034,2026-02-13T00:07:25.697684,0.000551777861311937,66511.529145,66034.496235,36.7,36.44,-0.26,0
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,BTCUSDT,2026-02-13T00:26:40.710034,2026-02-13T00:07:49.770991,0.0002754914527599502,66507.547155,66034.496235,18.32,18.19,-0.13,0
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,BTCUSDT,2026-02-13T00:26:40.710034,2026-02-13T00:08:14.150800,0.00013760892572543042,66473.770275,66034.496235,9.15,9.09,-0.06,0
BTCUSDT_2026-02-13T00:26:40.710034_1507573454464,BTCUSDT,2026-02-13T00:26:40.710034,2026-02-13T00:11:59.493429,0.0006987362653732654,66460.14346499999,66034.496235,46.44,46.14,-0.3,0
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,BTCUSDT,2026-02-13T00:31:41.695773,2026-02-13T00:11:59.493429,0.00040454409822829416,66460.14346499999,66069.49872500001,26.89,26.73,-0.16,0
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,BTCUSDT,2026-02-13T00:31:41.695773,2026-02-13T00:12:23.544483,0.0005509527821810793,66443.21500499999,66069.49872500001,36.61,36.4,-0.21,0
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,BTCUSDT,2026-02-13T00:31:41.695773,2026-02-13T00:12:47.607675,0.00027519883555057544,66410.42862,66069.49872500001,18.28,18.18,-0.09,0
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,BTCUSDT,2026-02-13T00:31:41.695773,2026-02-13T00:13:12.121915,0.00013737498563595193,66419.11296,66069.49872500001,9.12,9.08,-0.05,0
BTCUSDT_2026-02-13T00:31:41.695773_1507572902144,BTCUSDT,2026-02-13T00:31:41.695773,2026-02-13T00:16:57.196027,0.0006932958450725519,66364.36559999999,66069.49872500001,46.01,45.81,-0.2,0
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,BTCUSDT,2026-02-13T00:36:42.588648,2026-02-13T00:16:57.196027,0.00040819983639957,66364.36559999999,65992.60719,27.09,26.94,-0.15,0
